Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,Precision_macro,Recall_macro,F1_macro,ROC_AUC_OVR_weighted
Logistic Regression,0.8452404479578393,0.9421270616247884,0.8452404479578393,0.8816505400865998,0.7002372160634821,0.8226218485863198,0.6996399960770248,0.9774302712831493
Random Forest Classifier,0.9495223978919631,0.9407754538840046,0.9495223978919631,0.9359290209207712,0.8602354680241705,0.6898566927313304,0.7060778356339094,0.9947162959514819
XGBoost Classifier,0.9465579710144928,0.9694001605398002,0.9465579710144928,0.9542464205609712,0.809437630978865,0.9302180675045011,0.8444149039261704,0.9974056865359056
